timestamp,device_id,sync_event,drift_before_ms,drift_after_ms,network_event,recovery_time_ms,session_id
2024-12-10T09:23:45.123,Android_Sim_001,wifi_roaming_start,2.3,47.8,SSID_change_detected,1456,session_003
2024-12-10T09:23:46.579,Android_Sim_001,wifi_roaming_end,47.8,3.1,new_AP_associated,1456,session_003
2024-12-10T14:15:23.456,Android_Sim_002,wifi_roaming_start,1.9,52.3,signal_strength_drop,2134,session_007
2024-12-10T14:15:25.590,Android_Sim_002,wifi_roaming_end,52.3,2.8,roaming_complete,2134,session_007
2024-12-11T11:45:12.789,Android_Sim_003,wifi_roaming_start,2.1,63.7,access_point_switch,1789,session_012
2024-12-11T11:45:14.578,Android_Sim_003,wifi_roaming_end,63.7,2.4,sync_recovered,1789,session_012
2024-12-11T16:32:34.567,Android_Sim_001,network_congestion,1.8,12.4,bandwidth_limited,345,session_015
2024-12-11T16:32:34.912,Android_Sim_001,congestion_cleared,12.4,2.1,normal_latency,345,session_015
2024-12-12T08:12:45.234,Android_Sim_002,wifi_roaming_start,2.7,78.9,DHCP_renewal_delay,2567,session_018
2024-12-12T08:12:47.801,Android_Sim_002,wifi_roaming_end,78.9,3.2,IP_address_renewed,2567,session_018
2024-12-12T13:27:56.789,Android_Sim_003,packet_loss_spike,1.5,8.7,network_interference,234,session_021
2024-12-12T13:27:57.023,Android_Sim_003,packet_loss_normal,8.7,2.0,interference_cleared,234,session_021
2024-12-13T10:45:23.456,Android_Sim_001,wifi_roaming_start,2.2,89.4,building_AP_handoff,3123,session_025
2024-12-13T10:45:26.579,Android_Sim_001,wifi_roaming_end,89.4,2.6,handoff_complete,3123,session_025
2024-12-13T15:18:34.123,Android_Sim_002,router_restart,1.9,156.7,network_unavailable,4567,session_028
2024-12-13T15:18:38.690,Android_Sim_002,router_online,156.7,2.8,connection_restored,4567,session_028
2024-12-14T09:33:12.345,Android_Sim_003,wifi_roaming_start,2.4,71.2,load_balancing_switch,1890,session_032
2024-12-14T09:33:14.235,Android_Sim_003,wifi_roaming_end,71.2,2.9,load_balanced,1890,session_032
2024-12-14T14:25:45.678,Android_Sim_001,bandwidth_throttle,1.6,15.8,QoS_policy_applied,567,session_035
2024-12-14T14:25:46.245,Android_Sim_001,throttle_lifted,15.8,2.3,normal_priority,567,session_035
2024-12-15T08:17:23.789,Android_Sim_002,wifi_roaming_start,2.0,94.3,enterprise_AP_switch,2890,session_038
2024-12-15T08:17:26.679,Android_Sim_002,wifi_roaming_end,94.3,2.7,enterprise_auth_complete,2890,session_038
